cycle,'NATIVE',length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT)))
0,NATIVE,25,50,54885,7400
1,NATIVE,25,49,54664,7396
2,NATIVE,24,49,54471,7392
3,NATIVE,24,49,54279,7391
4,NATIVE,23,49,54076,7388
5,NATIVE,9120,48,53859,7425
6,NATIVE,15976,48,53674,7430
7,NATIVE,18624,47,53474,7435
8,NATIVE,18397,47,53271,7439
9,NATIVE,18164,47,53026,7494
10,NATIVE,17942,47,52828,7495
11,NATIVE,17730,46,52615,7497
12,NATIVE,17510,46,52440,7489
13,NATIVE,17315,49,52156,7556
14,NATIVE,17095,49,51967,7551
15,NATIVE,16907,47,51785,7545
16,NATIVE,16722,47,51593,7543
17,NATIVE,17625,47,51371,7560
18,NATIVE,25236,47,51181,7572
19,NATIVE,32218,46,51001,7568
20,NATIVE,31827,44,50825,7568
21,NATIVE,31442,50,50612,7603
22,NATIVE,31036,56,50359,7646
23,NATIVE,30676,56,50182,7653
24,NATIVE,30335,55,50020,7654
25,NATIVE,29973,55,49856,7656
26,NATIVE,29615,54,49606,7729
27,NATIVE,29275,54,49441,7724
28,NATIVE,28934,53,49285,7725
29,NATIVE,33962,52,49085,7730
30,NATIVE,36556,50,48881,7770
31,NATIVE,44034,50,48716,7768
32,NATIVE,43514,50,48530,7777
33,NATIVE,43016,49,48364,7784
34,NATIVE,42510,49,48130,7861
35,NATIVE,42021,48,47946,7899
36,NATIVE,41516,48,47790,7916
37,NATIVE,41026,48,47612,7917
38,NATIVE,40554,48,47436,7939
39,NATIVE,40090,48,47214,7996
40,NATIVE,39598,47,47049,7987
41,NATIVE,46387,46,46879,7998
42,NATIVE,51550,46,46676,8058
43,NATIVE,54618,45,46369,8207
44,NATIVE,53958,45,46211,8210
45,NATIVE,52586,813,46040,8216
46,NATIVE,47048,5757,45896,8219
47,NATIVE,43528,8666,45729,8224
48,NATIVE,40658,10988,45565,8229
49,NATIVE,39551,11518,45396,8236
50,NATIVE,39060,11410,45242,8239
51,NATIVE,38598,11306,45114,8247
52,NATIVE,38142,11190,44935,8280
53,NATIVE,45731,11063,44798,8277
54,NATIVE,52650,10954,44634,8286
55,NATIVE,58053,10827,44454,8304
56,NATIVE,57362,10718,44279,8350
57,NATIVE,56608,10667,44143,8351
58,NATIVE,54737,11719,44001,8369
59,NATIVE,50965,14771,43823,8396
60,NATIVE,46329,18616,43591,8467
61,NATIVE,44210,19979,43451,8466
62,NATIVE,43675,19795,43303,8476
63,NATIVE,43206,19593,43130,8503
64,NATIVE,42688,19380,42949,8560
65,NATIVE,47048,19174,42774,8599
66,NATIVE,54800,18962,42629,8600
67,NATIVE,61904,18780,42487,8622
68,NATIVE,61183,18602,42294,8655
69,NATIVE,60031,18854,42143,8682
70,NATIVE,56485,21484,42016,8694
71,NATIVE,53973,23146,41863,8708
72,NATIVE,50097,26127,41686,8734
73,NATIVE,47811,27556,41483,8794
74,NATIVE,47295,27241,41334,8804
75,NATIVE,46789,26972,41211,8810
76,NATIVE,46267,26695,41068,8831
77,NATIVE,52318,26378,40867,8900
78,NATIVE,57081,26099,40751,8899
79,NATIVE,64967,25839,40586,8899
80,NATIVE,64206,25575,40442,8915
81,NATIVE,62881,25906,40278,8958
82,NATIVE,58229,29602,40121,8987
83,NATIVE,54959,31864,39990,8998
84,NATIVE,51919,33961,39804,9039
85,NATIVE,50461,34438,39591,9126
86,NATIVE,49894,34078,39367,9230
87,NATIVE,49326,33734,39251,9236
88,NATIVE,48791,33392,39120,9237
89,NATIVE,56209,33061,38982,9249
90,NATIVE,62675,32735,38824,9279
91,NATIVE,67799,32372,38716,9273
92,NATIVE,66979,32041,38580,9281
93,NATIVE,65468,32398,38445,9297
94,NATIVE,60282,36522,38266,9341
95,NATIVE,56304,39393,38108,9359
96,NATIVE,52118,42594,37971,9374
97,NATIVE,50204,43445,37827,9393
98,NATIVE,49627,42988,37670,9425
99,NATIVE,49062,42552,37520,9451
100,NATIVE,48485,42125,37403,9459
101,NATIVE,56628,41691,37285,9461
102,NATIVE,64303,41268,37120,9480
103,NATIVE,71054,40847,36980,9511
104,NATIVE,70205,40441,36855,9518
105,NATIVE,68997,40445,36722,9542
106,NATIVE,65148,43090,36598,9566
107,NATIVE,60931,46122,36413,9638
108,NATIVE,55987,49871,36290,9643
109,NATIVE,53651,51056,36181,9650
110,NATIVE,53003,50534,36062,9661
111,NATIVE,52400,50003,35922,9699
112,NATIVE,51778,49470,35791,9712
113,NATIVE,57569,49021,35678,9725
114,NATIVE,65825,48475,35530,9751
115,NATIVE,73579,47972,35393,9784
116,NATIVE,72747,47452,35243,9847
117,NATIVE,71388,47501,35122,9849
118,NATIVE,66894,50611,34999,9869
119,NATIVE,63222,52986,34880,9901
120,NATIVE,58502,56474,34731,9942
121,NATIVE,55957,57778,34637,9951
122,NATIVE,55328,57170,34524,9970
123,NATIVE,54738,56620,34384,9990
124,NATIVE,54059,56049,34248,10037
125,NATIVE,61314,55455,34108,10057
126,NATIVE,67409,54928,33979,10097
127,NATIVE,75744,54408,33865,10097
128,NATIVE,74904,53796,33691,10168
129,NATIVE,73393,53903,33578,10201
130,NATIVE,68030,57874,33475,10201
131,NATIVE,64099,60455,33355,10198
132,NATIVE,59864,63323,33255,10202
133,NATIVE,57874,63958,33157,10200
134,NATIVE,57209,63312,33049,10200
135,NATIVE,56573,62707,32956,10202
136,NATIVE,55935,62061,32837,10220
137,NATIVE,63921,61448,32723,10229
138,NATIVE,71279,60869,32606,10245
139,NATIVE,77456,60304,32484,10263
140,NATIVE,76521,59715,32388,10267
141,NATIVE,74888,59838,32259,10306
142,NATIVE,69136,64103,32160,10317
143,NATIVE,64611,67192,32080,10324
144,NATIVE,59769,70683,31985,10326
145,NATIVE,57352,71627,31897,10330
146,NATIVE,56657,70886,31809,10339
147,NATIVE,56000,70107,31702,10357
148,NATIVE,55362,69425,31592,10379
149,NATIVE,63866,68715,31458,10416
150,NATIVE,71924,68084,31335,10451
151,NATIVE,79488,67420,31238,10455
152,NATIVE,78566,66763,31140,10474
153,NATIVE,77112,66618,31020,10502
154,NATIVE,72386,69770,30875,10558
155,NATIVE,67649,72982,30787,10559
156,NATIVE,62104,77068,30676,10585
157,NATIVE,59480,78178,30576,10600
158,NATIVE,58785,77359,30449,10647
159,NATIVE,58093,76552,30336,10668
160,NATIVE,57415,75804,30227,10696
161,NATIVE,64241,75105,30141,10707
162,NATIVE,72870,74348,29993,10767
163,NATIVE,81135,73583,29888,10784
164,NATIVE,80236,72837,29784,10800
165,NATIVE,78675,72782,29683,10809
166,NATIVE,73410,76363,29566,10849
167,NATIVE,69221,78954,29439,10890
168,NATIVE,64022,82612,29356,10902
169,NATIVE,61297,83736,29274,10915
170,NATIVE,60568,82880,29153,10946
171,NATIVE,59854,82066,29017,11000
172,NATIVE,59163,81269,28918,11021
173,NATIVE,67115,80462,28828,11034
